id|name|description|type_id|email|url|year_incorporated
5288|La Salle University|Maecenas ut massa quis augue luctus tincidunt.|3|bcottle@cbsnews.com|cbsnews.com|1987-07-02
7460|Institute of Teachers Education, Kent|Proin at turpis a pede posuere nonummy. Integer non velit.|8|ciacabucci@examiner.com|examiner.com|1943-08-27
5700|Milligan College|Cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus. Etiam vel augue.|7|omcquie@google.ru|google.ru|1980-12-29
1972|University of Mary Hardin-Baylor|Proin at turpis a pede posuere nonummy. Integer non velit.|5|rcamacke@pen.io|pen.io|1977-04-26
7637|Fachhochschule Oldenburg/Ostfriesland/Wilhelmshaven|Proin at turpis a pede posuere nonummy. Integer non velit.|5|kcollcott@paginegialle.it|paginegialle.it|1999-10-12
9064|RMIT International University Vietnam|Lorem ipsum dolor sit amet consectetuer adipiscing elit.|7|jwye@uiuc.edu|uiuc.edu|1923-06-21
6628|Al-Jabal Al-Gharbi University|Lorem ipsum dolor sit amet consectetuer adipiscing elit.|7|lhegdonne@chicagotribune.com|chicagotribune.com|1920-06-20
7841|Universidad de Puerto Rico|Maecenas ut massa quis augue luctus tincidunt.|2|gfetterplace@hibu.com|hibu.com|1985-01-12
4140|Univesidade Agostinho Neto|Proin at turpis a pede posuere nonummy. Integer non velit.|6|wavann@ask.com|ask.com|1921-05-31
3401|Doane College|Maecenas ut massa quis augue luctus tincidunt.|2|jlillow@phpbb.com|phpbb.com|1921-04-01
